workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
llm,replicate,per_1m_tokens,rep_claude37sonnet_in,anthropic/claude-3.7-sonnet - input,claude-3-7-sonnet-20250219,3.0,1M_tokens,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
llm,replicate,per_1k_tokens,rep_claude37sonnet_out,anthropic/claude-3.7-sonnet - output,claude-3-7-sonnet-20250219,0.015,1K_tokens,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
image_generation,replicate,per_image,rep_flux11pro_image,black-forest-labs/flux-1.1-pro - output image,flux-1.1-pro,0.04,image,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
image_generation,replicate,per_image,rep_fluxdev_image,black-forest-labs/flux-dev - output image,flux-dev,0.025,image,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
image_generation,replicate,per_1000_images,rep_fluxschnell_1000_images,"black-forest-labs/flux-schnell - 1,000 output images",flux-schnell,3.0,1000_images,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
llm,replicate,per_1m_tokens,rep_deepseekr1_in,deepseek-ai/deepseek-r1 - input,deepseek-r1,3.75,1M_tokens,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
llm,replicate,per_1k_tokens,rep_deepseekr1_out,deepseek-ai/deepseek-r1 - output,deepseek-r1,0.01,1K_tokens,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
image_generation,replicate,per_image,rep_ideogramv3_quality_image,ideogram-ai/ideogram-v3-quality - output image,ideogram-v3-quality,0.09,image,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
image_generation,replicate,per_image,rep_recraftv3_image,recraft-ai/recraft-v3 - output image,recraft-v3,0.04,image,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
video_generation,replicate,per_output_second,rep_wan21_i2v_480p,wavespeedai/wan-2.1-i2v-480p - per second of output video,wan-2.1-i2v-480p,0.09,output_video_second,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
video_generation,replicate,per_output_second,rep_wan21_i2v_720p,wavespeedai/wan-2.1-i2v-720p - per second of output video,wan-2.1-i2v-720p,0.25,output_video_second,,,,,,global,,https://replicate.com/pricing,2026-02-20,high
llm,replicate,per_second,replicate_prev_replicate_hw_cpu_small,Replicate hardware: cpu-small (CPU Small),replicate_prev_replicate_hw_cpu_small,2.5e-05,second,,,,,,global,Hardware pricing for private/public models billed by time; cpu-small. (carried over from previous dataset),https://replicate.com/pricing,2026-02-20,medium
llm,replicate,per_second,replicate_prev_replicate_hw_cpu,Replicate hardware: cpu (CPU),replicate_prev_replicate_hw_cpu,0.0001,second,,,,,,global,Hardware pricing for models billed by time; cpu. (carried over from previous dataset),https://replicate.com/pricing,2026-02-20,medium
speech_to_text,replicate,per_second,replicate_prev_replicate_hw_gpu_t4,Replicate hardware: gpu-t4 (NVIDIA T4),replicate_prev_replicate_hw_gpu_t4,0.000225,second,,,,,,global,Hardware pricing; includes 16GB RAM and 16GB GPU RAM in listing (RAM field stored here). (carried over from previous dataset),https://replicate.com/pricing,2026-02-20,medium
